PARK,OWNER,lat,max_MW,lon
WP Leeuwarden,?,53.111713,1.8,5.452985
Gruttoweg,a Campo,52.328531,19.71,5.373924
Dintelmond Sabrinapolder,Activabedrijf Wind Nederland BV (RWE Essent),51.6592,0.85,4.370623577
Andijk,Andijkerwind bv,52.726444,2.55,5.183342
Windstroom,Ansjovistocht-1,52.483991,12.8,5.677173
Kluutweg,Assies-1,52.342614,3.4,5.352416
Baardmeesweg,AvdMeer,52.366206,4.07,5.513101
Eemshaven,Bakker,53.4219,9,6.8738
Delfzijl-Zuid,Banc-17,53.285,69.4,6.9554
Beabuorren,Beabuorren,53.047669,10.4,5.488806
WP Noordpolderweg,Berghuis,53.4134,1.7,6.4973
Pijlstaartweg,Boeren,52.412032,18,5.56705
,Bootsma,53.176834,2,5.45735
,Boreas Wind B.V.,52.23199449,2.3,4.650920732
,BP,51.952454,22.5,36.85
BP,BP-NW,52.421031,9,4.774851
Lelystad-Overijsselsetocht,Brommer-3,52.53241,6,5.570694
Rippolder,Camperwind,51.588286,12.5,3.680572
Laaksche Vaart,Cooperatie windpark Laaksche Vaart,51.6091,11.5,4.61422995
WP Nieuwe Polderjongens,Cooperatieve Windenergievereniging Meerwind,52.23143568,4.6,4.642872664
Duikerweg,Costermans,52.36226,3.42,5.41459
De Nes,CVW Waterland 1,52.433801,4.6,5.088321
4 elementen,de Clerck,52.567068,0.66,5.572298
,de Graaf,52.783547,2,4.686652
,De Plaet B.V.,51.671972,21,4.356693
,De Wilde Wind Holding B.V. en SurveyCom B.V.,51.86727472,24,4.275299109
,de Wit,52.827568,2,4.831717
,De Wolf Nederland windenergie,51.97798716,15,4.069219932
WP Defensie Coevorden,Defensie Noord 1,52.642077,15,6.729004
Rilland,Delta,51.385,14.4,4.259234
Wp Anna Mariapolder,Delta Energy BV,51.386,5.4,4.260967
,Delta Noord BV,53.454247,3.3,6.847465
,Delta Windpark B.V.,51.69424364,3.05,4.160759361
,Delta Windpark B.V.,51.69712705,3.05,4.158072478
Borssele-Olaz,Deltan-2,51.445428,3.3,3.740257
Koegorspolder,DIF,51.28854,44,3.83957
Jacoba Haven,Div,51.59683,9,3.682411
Neeltje Jans,Div,51.64016,9,3.697913
Noordland,Div,51.622795,6,3.678464
EWTW,ECN,52.817351,10.9,5.084067
Scherventocht,ECN-1,52.831785,12.5,5.080088
De Locht-Briareus,Ecowind,50.847275,2.5,6.011512
De Locht-Gyges,Ecowind,50.844965,2.5,6.014189
Kerststal,Eendragt,52.943146,0.66,4.786449
WP Eeems,Electrabel,53.4396,27,6.8719
Anna-Vosdijkpolder,Eneco,51.607256,15,4.053652
Halderberge,Eneco,51.6131,10,4.463658
Lopik,Eneco,51.992317,6,4.960529
van Luna,Eneco,52.651227,6.9,4.79784
Waalwijk-Ecopark,Eneco,51.7087,7.5,5.064773
Windpark Luchterduinen,Eneco,52.4237,129,4.2
Wp Sabinapolder vof,Eneco,51.6758161,9,4.40054158
,Eneco,51.881087,2,4.244798
,Eneco,51.748433,2.5,4.232543
,Eneco,51.75932,2,4.211706
,Eneco,51.761061,2,4.208952
,Eneco,51.762797,2,4.206227
,Eneco,51.764537,2,4.203473
,Eneco,51.766257,2,4.200738
,Eneco,51.768,2,4.198004
,Eneco,51.934398,2.5,4.152577
,Eneco,51.934411,1.5,4.002946
,Eneco-2,51.933057,2.5,4.156519
,Eneco-2,51.933993,1.5,4.006018
,Eneco-3,51.931711,2.5,4.160464
,Eneco-3,51.933367,1.5,4.008934
,Eneco-4,51.932718,1.5,4.011965
,Eneco-5,51.92926,2.5,4.168587
,Eneco-5,51.932051,1.5,4.014849
