Project Name,Location,County,Region,Turbine Capacity,Number of Turbines,max_MW,Developer,Owner,Local Planning Authority,lat,lon,Type,Project Status
Glenmuckloch,"Glenmuckloch Surface Coal Mine, Kirkconnel",Dumfries & Galloway,Scotland,3.2,8,25.6,2020 Renewables,2020 Renewables,Dumfries & Galloway,55.3958,-4.04861,onshore,Consented
Inverclyde (Greenock Resubmission),"Land N &amp; E of Corlic Hill, Greenock",Inverclyde,Scotland,3,8,24,2020 Renewables,2020 Renewables,Inverclyde DC,55.9183,-4.72889,onshore,Consented
North Tolsta,"Cnoc Airigh Mhic Crishnidh, South Shawbost, Isle Of Lewis",Western Isles,Scotland,3.3,14,46.2,2020 Renewables,2020 Renewables,Western Isles UC,58.3131,-6.70944,onshore,Consented
Druim Leathann,"Isle of Lewis, 2km W of Tolsta",Western Isles,Scotland,3,14,42,2020 Renewables,2020 Renewables,Western Isles UC,58.3381,-6.25111,onshore,Consented
Evishagaran,"Gelvin Road, Cruckanim",Co. Londonderry,Northern Ireland,2.5,14,35,ABO Wind,ABO Wind,Belfast Strategic Planning,54.9478,-6.83806,onshore,Consented
Stornoway Wind Farm,"Stornoway Trust Estate, Isle of Lewis",Western Isles,Scotland,5,36,180,EDF Energy Renewables,AMEC Foster Wheeler; EDF Energy Renewables,Western Isles UC,58.2103,-6.47667,onshore,Consented
Carno Wind Farm Extension - Phase III,SSA B: Carno North,Powys,Mid Wales,2.5,13,32.5,Amegni,Amegni,Powys CC,52.5331,-3.59361,onshore,Consented
Elginny Hill (Resubmission),"Carncoagh Hill, Broughshane",Co. Antrim,Northern Ireland,2,10,20,Antrim Wind,Antrim Wind,Belfast Strategic Planning,54.9314,-6.20583,onshore,Consented
Middle Muir,"NW of Crawfordjohn, South Lanarkshire",South Lanarkshire,Scotland,3.4,15,51,Banks Renewables,Banks Renewables,South Lanarkshire,55.5083,-3.80028,onshore,Consented
Kype Muir Extension,Land over one mile south of Strathaven and over four miles west of Lesmahagow,South Lanarkshire,Scotland,3.4,15,51,Banks Renewables,Banks Renewables,South Lanarkshire,55.6267,-4.035,onshore,Consented
Kype Muir,Land over one mile south of Strathaven and over four miles west of Lesmahagow,Lanarkshire,Scotland,3.4,26,88.4,Banks Renewables,Banks Renewables,South Lanarkshire,55.6269,-4.03278,onshore,Consented
Wathegar Extension,"Wathegar, Bilbster, Wick",Caithness,Scotland,2.05,9,18.45,Whirlwind Renewables,BayWa r.e. renewable energy GmbH,Highlands Council,58.4369,-3.22111,onshore,Consented
Crockandun,"Junction of Cullion and Drumard Road, Draperstown, Magherafelt",Co. Londonderry,Northern Ireland,3,6,18,Brookfield,Brookfield,Belfast Strategic Planning,54.7325,-6.78694,onshore,Consented
Tralorg,E of Girvan,South Ayrshire,Scotland,2.5,8,20,PNE Wind UK,Brookfield,South Ayrshire,55.2364,-4.80556,onshore,Consented
Penbreck,Penbreck and Carmacoup Forest Near Douglas,South Lanarkshire,Scotland,3,9,27,PNE Wind UK,Brookfield,South Lanarkshire,55.4753,-4.01056,onshore,Consented
Kennoxhead,S of Glespin,South Lanarkshire,Scotland,3.4,19,64.4,PNE Wind UK,Brookfield,South Lanarkshire,55.4978,-3.94611,onshore,Consented
Larbrax (Resubmission),"Leswalt, Stranraer",Dumfries & Galloway,Scotland,2.5,8,20,PNE Wind UK,Brookfield Renewable Energy Group,Dumfries & Galloway,54.91,-5.16639,onshore,Consented
Sandy Knowe (Resubmission),Upper Nithsdale,Dumfries & Galloway,Scotland,2,24,48,Burcote Wind,Burcote Wind,Dumfries & Galloway,55.3719,-4.05111,onshore,Consented
Llyn Brenig,Near Llyn Brenig - SSA (A),Denbighshire,North Wales,2.35,16,37.6,Windpower Wales,China Guangdong Nuclear Power Group (CGN),Denbighshire County Council,53.1003,-3.50861,onshore,Consented
Sanquhar 'Six',Black Hill,Dumfries & Galloway,Scotland,3.3,6,19.8,Community Windpower,Community Windpower,Dumfries & Galloway,55.3378,-4.07806,onshore,Consented
Sneddon Law,U41 Hemphill To High Rushaw Moscow,East Ayrshire,Scotland,2.5,15,37.5,Community Windpower,Community Windpower,East Ayrshire UC,55.6431,-4.39472,onshore,Consented
Aikengall IIa,"Innerwick, Dunbar",East Lothian,Scotland,4,19,75.5,Community Windpower,Community Windpower,East Lothian / Scottish Borders,55.8933,-2.4525,onshore,Consented
Beatrice,Outer Moray Firth,Highland,Scotland,7,84,588,SSE Renewables,Copenhagen Infrastructure Partners (CIP); Scottish & Southern Energy Plc (SSE); SDIC Power,Highland Council,58.2536,-2.88611,offshore,Consented
Creag Riabhach,"Altnaharra Estate, Sutherland, Lairg",Highland,Scotland,3.3,22,72.6,Creag Riabhach Wind Farm Ltd.,Creag Riabhach Wind Farm Ltd.,Highland Council,58.2192,-4.51111,onshore,Consented
Hornsea Project One,103km from Yorkshire Coast,East Riding of Yorkshire,Yorkshire & Humber,7,171,1197,DONG Energy A/S,DONG Energy A/S,,53.8786,1.93806,offshore,Consented
Hornsea Project Two,89km from Yorkshire Coast,East Riding of Yorkshire,Yorkshire & Humber,6,300,1800,SMartWind,DONG Energy A/S,,53.9658,1.89694,offshore,Consented
Walney Extension East,"17km Walney Island, Irish Sea",Cumbria,North West,7,47,329,DONG Energy A/S,DONG Energy A/S,Cumbria,54.0869,-3.73778,offshore,Consented
Walney Extension West,"17km Walney Island, Irish Sea",Cumbria,North West,8.25,40,330,DONG Energy A/S,DONG Energy A/S,Cumbria,54.0869,-3.73778,offshore,Consented
Pollnalaght,Cornavarrow Road,Co. Tyrone,Northern Ireland,3.2,12,38.4,DW Consultancy Ltd,DW Consultancy Ltd; Energia,County Tyrone,54.5817,-7.47417,onshore,Consented
Heckington Fen,"East Heckington, North Kesteven",Lincolnshire,East Midlands,3,22,66,Ecotricity,Ecotricity,North Kesteven District Council,52.9953,-0.210556,onshore,Consented
Blyth Offshore Wind Demonstration Project (Phase 2),6km off Blyth Coast,Northumberland,North East,0,5,30,EDF Energy Nouvelles Group,EDF Energy Nouvelles Group,,55.15,-1.45444,offshore,Consented
Blyth Offshore Wind Demonstration Project (Phase 3),6km off Blyth Coast,Northumberland,North East,0,5,30,EDF Energy Nouvelles Group,EDF Energy Nouvelles Group,,55.15,-1.45444,offshore,Consented
Blyth Offshore Wind Demonstration Project (Phase 1),6km off Blyth Coast,Northumberland,North East,8.3,5,41.5,EDF Energy Nouvelles Group,EDF Energy Nouvelles Group,,55.15,-1.45444,offshore,Consented
Craigton and Spittalhill,"Wester Cringate, Polmaise Road",Stirling,Scotland,3,7,21,Force 9 Energy,EDF Energy Renewables,Stirling Council,56.0728,-4.14694,onshore,Consented
Dorenell,"Glenfiddich Estate, Dufftown",Moray,Scotland,3,59,177,Infinergy,EDF Energy Renewables,Moray UC,57.3511,-3.13111,onshore,Consented
